Date,Point_1,Point_2,Point_3,Point_4,Point_5
1/1/1981,12.03844604,12.11913452,12.03844604,12.03844604,12.11913452
1/2/1981,11.48919067,11.48311768,11.48919067,11.48919067,11.48311768
1/3/1981,11.61034546,11.61858521,11.61034546,11.61034546,11.61858521
1/4/1981,10.59786377,10.4487854,10.59786377,10.59786377,10.4487854
1/5/1981,11.64241943,11.65166626,11.64241943,11.64241943,11.65166626
1/6/1981,11.45281372,11.43032227,11.45281372,11.45281372,11.43032227
1/7/1981,11.00689087,10.91259155,11.00689087,11.00689087,10.91259155
1/8/1981,11.64455566,11.64528809,11.64455566,11.64455566,11.64528809
1/9/1981,11.90612183,11.94625244,11.90612183,11.90612183,11.94625244
1/10/1981,11.37304077,11.32644043,11.37304077,11.37304077,11.32644043
1/11/1981,10.96785889,10.85524902,10.96785889,10.96785889,10.85524902
1/12/1981,11.33849487,11.28115234,11.33849487,11.33849487,11.28115234
1/13/1981,11.70476685,11.70150146,11.70476685,11.70476685,11.70150146
1/14/1981,11.76195679,11.76311646,11.76195679,11.76195679,11.76311646
1/15/1981,12.36379395,12.45592651,12.36379395,12.36379395,12.45592651
1/16/1981,11.82003174,11.82570801,11.82003174,11.82003174,11.82570801
1/17/1981,11.94609985,11.96782837,11.94609985,11.94609985,11.96782837
1/18/1981,11.83114014,11.83165894,11.83114014,11.83114014,11.83165894
1/19/1981,11.92629395,11.93953857,11.92629395,11.92629395,11.93953857
1/20/1981,12.57296143,12.68358765,12.57296143,12.57296143,12.68358765
1/21/1981,12.15300903,12.19536743,12.15300903,12.15300903,12.19536743
1/22/1981,11.85112915,11.8434082,11.85112915,11.85112915,11.8434082
1/23/1981,11.32702026,11.23592529,11.32702026,11.32702026,11.23592529
1/24/1981,11.46785889,11.39504395,11.46785889,11.46785889,11.39504395
1/25/1981,11.71199951,11.67345581,11.71199951,11.71199951,11.67345581
1/26/1981,11.76427612,11.73131714,11.76427612,11.76427612,11.73131714
1/27/1981,12.06166992,12.07216797,12.06166992,12.06166992,12.07216797
1/28/1981,11.24328003,11.12398682,11.24328003,11.24328003,11.12398682
1/29/1981,11.73336182,11.68630371,11.73336182,11.73336182,11.68630371
1/30/1981,11.66182861,11.60222778,11.66182861,11.66182861,11.60222778
1/31/1981,11.81743774,11.77837524,11.81743774,11.81743774,11.77837524
2/1/1981,12.00252686,11.98861084,12.00252686,12.00252686,11.98861084
2/2/1981,11.77443848,11.72283325,11.77443848,11.77443848,11.72283325
2/3/1981,12.29949341,12.32503662,12.29949341,12.29949341,12.32503662
2/4/1981,11.40728149,11.29161987,11.40728149,11.40728149,11.29161987
2/5/1981,12.0744873,12.05935059,12.0744873,12.0744873,12.05935059
2/6/1981,12.21938477,12.22417603,12.21938477,12.21938477,12.22417603
2/7/1981,12.43047485,12.4638916,12.43047485,12.43047485,12.4638916
2/8/1981,12.02935181,11.99840698,12.02935181,12.02935181,11.99840698
2/9/1981,12.10622559,12.08468018,12.10622559,12.10622559,12.08468018
2/10/1981,12.17327271,12.15960083,12.17327271,12.17327271,12.15960083
2/11/1981,11.54235229,11.42730103,11.54235229,11.54235229,11.42730103
2/12/1981,11.87011108,11.80318604,11.87011108,11.87011108,11.80318604
2/13/1981,12.43535767,12.45177612,12.43535767,12.43535767,12.45177612
2/14/1981,11.90142212,11.83294067,11.90142212,11.90142212,11.83294067
2/15/1981,12.47023926,12.48708496,12.47023926,12.47023926,12.48708496
2/16/1981,12.31151733,12.30092773,12.31151733,12.31151733,12.30092773
2/17/1981,12.20641479,12.1770874,12.20641479,12.20641479,12.1770874
2/18/1981,12.51009521,12.52373657,12.51009521,12.51009521,12.52373657
2/19/1981,11.70153198,11.58788452,11.70153198,11.70153198,11.58788452
2/20/1981,11.64614258,11.52095947,11.64614258,11.64614258,11.52095947
2/21/1981,11.90996704,11.82302246,11.90996704,11.90996704,11.82302246
2/22/1981,12.09560547,12.03435669,12.09560547,12.09560547,12.03435669
2/23/1981,11.97573242,11.89348755,11.97573242,11.97573242,11.89348755
2/24/1981,12.54506836,12.54778442,12.54506836,12.54506836,12.54778442
2/25/1981,11.95293579,11.86174927,11.95293579,11.95293579,11.86174927
2/26/1981,12.5616394,12.56148682,12.5616394,12.5616394,12.56148682
2/27/1981,11.7423645,11.61422119,11.7423645,11.7423645,11.61422119
2/28/1981,12.15023193,12.08110962,12.15023193,12.15023193,12.08110962
3/1/1981,12.55724487,12.54799805,12.55724487,12.55724487,12.54799805
3/2/1981,12.49144897,12.46959839,12.49144897,12.49144897,12.46959839
3/3/1981,12.64266357,12.64119873,12.64266357,12.64266357,12.64119873
3/4/1981,12.52825317,12.50612793,12.52825317,12.52825317,12.50612793
3/5/1981,11.96972046,11.86083374,11.96972046,11.96972046,11.86083374
3/6/1981,12.33822021,12.28228149,12.33822021,12.33822021,12.28228149
3/7/1981,12.23223267,12.15844116,12.23223267,12.23223267,12.15844116
3/8/1981,12.60973511,12.59127197,12.60973511,12.60973511,12.59127197
3/9/1981,12.48543701,12.44579468,12.48543701,12.48543701,12.44579468
3/10/1981,11.63262329,11.45882568,11.63262329,11.63262329,11.45882568
3/11/1981,11.42473755,11.21587524,11.42473755,11.42473755,11.21587524
3/12/1981,11.99407349,11.8701416,11.99407349,11.99407349,11.8701416
3/13/1981,11.85997925,11.71334229,11.85997925,11.85997925,11.71334229
3/14/1981,11.96550903,11.83370361,11.96550903,11.96550903,11.83370361
3/15/1981,12.04293213,11.92107544,12.04293213,12.04293213,11.92107544
3/16/1981,12.17446289,12.06994019,12.17446289,12.17446289,12.06994019
3/17/1981,12.06356201,11.94042358,12.06356201,12.06356201,11.94042358
3/18/1981,11.63921509,11.44860229,11.63921509,11.63921509,11.44860229
3/19/1981,12.05114136,11.92116699,12.05114136,12.05114136,11.92116699
3/20/1981,12.05480347,11.92336426,12.05480347,12.05480347,11.92336426
3/21/1981,11.87502441,11.71434937,11.87502441,11.87502441,11.71434937
3/22/1981,12.43944702,12.36391602,12.43944702,12.43944702,12.36391602
3/23/1981,12.26107178,12.15502319,12.26107178,12.26107178,12.15502319
3/24/1981,12.24361572,12.13439331,12.24361572,12.24361572,12.13439331
3/25/1981,12.48742065,12.41387329,12.48742065,12.48742065,12.41387329
3/26/1981,12.87474976,12.85900269,12.87474976,12.87474976,12.85900269
3/27/1981,12.34221802,12.24126587,12.34221802,12.34221802,12.24126587
3/28/1981,12.48217163,12.40233765,12.48217163,12.48217163,12.40233765
3/29/1981,12.30788574,12.19912109,12.30788574,12.30788574,12.19912109
3/30/1981,12.41973267,12.32625732,12.41973267,12.41973267,12.32625732
3/31/1981,12.02352295,11.86837158,12.02352295,12.02352295,11.86837158
4/1/1981,12.38540039,12.28411255,12.38540039,12.38540039,12.28411255
4/2/1981,12.17751465,12.04213867,12.17751465,12.17751465,12.04213867
4/3/1981,12.36806641,12.26012573,12.36806641,12.36806641,12.26012573
4/4/1981,12.42357788,12.32369385,12.42357788,12.42357788,12.32369385
4/5/1981,12.73711548,12.68364868,12.73711548,12.73711548,12.68364868
4/6/1981,11.92330322,11.74221191,11.92330322,11.92330322,11.74221191
4/7/1981,11.85177002,11.65911255,11.85177002,11.85177002,11.65911255
4/8/1981,12.55306396,12.46767578,12.55306396,12.55306396,12.46767578
4/9/1981,12.49541626,12.40065918,12.49541626,12.49541626,12.40065918
4/10/1981,12.40065918,12.28927002,12.40065918,12.40065918,12.28927002
4/11/1981,12.61989746,12.5413147,12.61989746,12.61989746,12.5413147
4/12/1981,12.26217041,12.12883911,12.26217041,12.26217041,12.12883911
4/13/1981,13.00859985,12.98757324,13.00859985,13.00859985,12.98757324
4/14/1981,12.42107544,12.30831299,12.42107544,12.42107544,12.30831299
4/15/1981,12.80126343,12.74764404,12.80126343,12.80126343,12.74764404
4/16/1981,12.45968018,12.35137329,12.45968018,12.45968018,12.35137329
4/17/1981,12.44225464,12.33071289,12.44225464,12.44225464,12.33071289
4/18/1981,12.53359375,12.43514404,12.53359375,12.53359375,12.43514404
4/19/1981,12.45134888,12.34066162,12.45134888,12.45134888,12.34066162
4/20/1981,12.94112549,12.90407715,12.94112549,12.94112549,12.90407715
4/21/1981,12.75066528,12.68468628,12.75066528,12.75066528,12.68468628
4/22/1981,12.51732788,12.41430054,12.51732788,12.51732788,12.41430054
4/23/1981,12.35637817,12.22802124,12.35637817,12.35637817,12.22802124
4/24/1981,12.11321411,11.94628296,12.11321411,12.11321411,11.94628296
4/25/1981,12.69503174,12.61843262,12.69503174,12.69503174,12.61843262
4/26/1981,12.49123535,12.38213501,12.49123535,12.49123535,12.38213501
4/27/1981,12.0597168,11.8835083,12.0597168,12.0597168,11.8835083
4/28/1981,12.27263794,12.12975464,12.27263794,12.27263794,12.12975464
4/29/1981,12.53035889,12.42723999,12.53035889,12.53035889,12.42723999
4/30/1981,11.92177734,11.72420654,11.92177734,11.92177734,11.72420654
5/1/1981,12.34267578,12.20906982,12.34267578,12.34267578,12.20906982
5/2/1981,12.3194519,12.18273315,12.3194519,12.3194519,12.18273315
5/3/1981,12.52660522,12.42333374,12.52660522,12.52660522,12.42333374
5/4/1981,12.28203735,12.14049683,12.28203735,12.28203735,12.14049683
5/5/1981,11.88637695,11.68273315,11.88637695,11.88637695,11.68273315
5/6/1981,11.9951416,11.8097168,11.9951416,11.9951416,11.8097168
5/7/1981,11.70629272,11.47579346,11.70629272,11.70629272,11.47579346
5/8/1981,11.6428772,11.40401611,11.6428772,11.6428772,11.40401611
5/9/1981,12.2506958,12.10372314,12.2506958,12.2506958,12.10372314
5/10/1981,12.18236694,12.02630005,12.18236694,12.18236694,12.02630005
5/11/1981,12.10997925,11.94320068,12.10997925,12.10997925,11.94320068
5/12/1981,12.77459106,12.71090088,12.77459106,12.77459106,12.71090088
5/13/1981,12.14141235,11.98043213,12.14141235,12.14141235,11.98043213
5/14/1981,12.98803101,12.95922241,12.98803101,12.98803101,12.95922241
5/15/1981,11.97030029,11.78484497,11.97030029,11.97030029,11.78484497
5/16/1981,12.35540161,12.22985229,12.35540161,12.35540161,12.22985229
5/17/1981,12.02141724,11.84478149,12.02141724,12.02141724,11.84478149
5/18/1981,12.41057739,12.29549561,12.41057739,12.41057739,12.29549561
5/19/1981,12.38735352,12.26818237,12.38735352,12.38735352,12.26818237
5/20/1981,12.86013184,12.81539307,12.86013184,12.86013184,12.81539307
5/21/1981,12.02440796,11.85112915,12.02440796,12.02440796,11.85112915
5/22/1981,11.97081909,11.79073486,11.97081909,11.97081909,11.79073486
5/23/1981,11.4253479,11.16149292,11.4253479,11.4253479,11.16149292
5/24/1981,11.73439941,11.52120361,11.73439941,11.73439941,11.52120361
5/25/1981,11.89812622,11.70968018,11.89812622,11.89812622,11.70968018
5/26/1981,12.00194702,11.83098755,12.00194702,12.00194702,11.83098755
5/27/1981,12.34682617,12.22960815,12.34682617,12.34682617,12.22960815
5/28/1981,12.79363403,12.74733887,12.79363403,12.79363403,12.74733887
5/29/1981,12.50884399,12.42006836,12.50884399,12.50884399,12.42006836
5/30/1981,12.20931396,12.07476196,12.20931396,12.20931396,12.07476196
5/31/1981,12.3756958,12.26976929,12.3756958,12.3756958,12.26976929
6/1/1981,12.39507446,12.293573,12.39507446,12.39507446,12.293573
6/2/1981,12.67598877,12.61837158,12.67598877,12.67598877,12.61837158
6/3/1981,11.9274231,11.75615845,11.9274231,11.9274231,11.75615845
6/4/1981,11.81481323,11.62764893,11.81481323,11.81481323,11.62764893
6/5/1981,11.4548584,11.21404419,11.4548584,11.4548584,11.21404419
6/6/1981,11.75054321,11.55587158,11.75054321,11.75054321,11.55587158
6/7/1981,12.0989624,11.96001587,12.0989624,12.0989624,11.96001587
6/8/1981,12.38747559,12.29699097,12.38747559,12.38747559,12.29699097
6/9/1981,12.38799438,12.2980896,12.38799438,12.38799438,12.2980896
6/10/1981,11.49187622,11.26555786,11.49187622,11.49187622,11.26555786
6/11/1981,11.4270874,11.1927124,11.4270874,11.4270874,11.1927124
6/12/1981,11.68746338,11.49477539,11.68746338,11.68746338,11.49477539
6/13/1981,12.26708374,12.16582642,12.26708374,12.26708374,12.16582642
6/14/1981,12.21703491,12.11000977,12.21703491,12.21703491,12.11000977
6/15/1981,11.34462891,11.10585938,11.34462891,11.34462891,11.10585938
6/16/1981,11.41402588,11.1864563,11.41402588,11.41402588,11.1864563
6/17/1981,11.72713623,11.5508667,11.72713623,11.72713623,11.5508667
6/18/1981,11.6475769,11.46096191,11.6475769,11.6475769,11.46096191
6/19/1981,11.43029175,11.21209106,11.43029175,11.43029175,11.21209106
6/20/1981,11.51220093,11.30959473,11.51220093,11.51220093,11.30959473
